aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
292899;Balanion;?;Ciliophora;Wulff, 1919
204197;Codonellopsis;?;Ciliophora;Jörgensen, 1924
105513;Diaphanoeca;?;Choanozoa;W.Ellis, 1930
105574;Diaphanoeca sphaerica;?;Choanozoa;Thomsen, 1982
179326;Euplotes;?;Ciliophora;O.F. Müller, 1786
183543;Eutintinnus;?;Ciliophora;Kofoid & Campbell, 1939
417214;Eutintinnus pectinis;?;Ciliophora;(Kofoid & Campbell, 1929)
105588;Parvicorbicula socialis;?;Choanozoa;(Meunier) Deflandre, 1960
105541;Salpingoeca;?;Choanozoa;H.J.Clark, 1866
248178;Holococcolithophora;?;Haptophyta;L.Cros & J.R.Young, 2005
625430;Leprotintinnus pellucidus;?;Ciliophora;(Cleve, 1899)
196836;Parafavella;?;Ciliophora;Kofoid & Campbell, 1929
427603;Parafavella elegans;?;Ciliophora;(Ostenfeld, 1899)
196837;Parafavella gigantea;?;Ciliophora;(Brandt), Kofoid & Campbell, 1929
427609;Parafavella obtusangula;?;Ciliophora;(Ostenfeld, 1899)
345911;Parundella;?;Ciliophora;Jörgensen, 1924
341692;Pelagostrobilidium spirale;?;Ciliophora;(Leegaard, 1915) Petz, Song & Wilbert, 1995
172321;Peritromus;?;Ciliophora;Stein, 1863
292925;Rhabdoaskenasia;?;Ciliophora;Krainer & Foissner, 1990
183566;Salpingella;?;Ciliophora;Jörgensen, 1924
417228;Salpingella acuminata;?;Ciliophora;(Claparède & Lachmann, 1858) Jörgensen, 1924
425635;Salpingelloides;?;Ciliophora;Campbell, 1942
732868;Schmidingerella serrata;?;Ciliophora;(Möbius, 1887) Agatha & Strüder-Kypke, 2012
178825;Stenosemella;?;Ciliophora;Jörgensen
114298;Ammoglobigerina globigeriniformis;FORAM;Foraminifera;(Parker & Jones, 1865)
112291;Ammolagena;FORAM;Foraminifera;Eimer & Fickert, 1899
113827;Ammolagena clavata;FORAM;Foraminifera;(Jones & Parker, 1860)
112078;Ammonia;FORAM;Foraminifera;Brünnich, 1771
112322;Ammoscalaria;FORAM;Foraminifera;Höglund, 1947
113920;Ammoscalaria tenuimargo;FORAM;Foraminifera;(Brady, 1882)
113780;Amphicoryna scalaris;FORAM;Foraminifera;(Batsch, 1791)
112081;Anomalina;FORAM;Foraminifera;d'Orbigny, 1826
112299;Astrorhiza;FORAM;Foraminifera;Sandahl, 1858
113840;Astrorhiza arenaria;FORAM;Foraminifera;Carpenter in Norman, 1877
113843;Astrorhiza limicola;FORAM;Foraminifera;Sandahl, 1858
1026240;Beella megastoma;FORAM;Foraminifera;(Earland, 1934)
