aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
105506;Calliacantha;?;Choanozoa;B.S.C.Leadbeater, 1978
105559;Calliacantha longicaudata;?;Choanozoa;(Leadbeater) Leadbeater, 1978
105561;Calliacantha natans;?;Choanozoa;(Grøntved) Leadbeater, 1978
105532;Desmarella;?;Choanozoa;W.S.Kent, 1878
105513;Diaphanoeca;?;Choanozoa;W.Ellis, 1930
105571;Diaphanoeca grandis;?;Choanozoa;Ellis, 1930
105574;Diaphanoeca sphaerica;?;Choanozoa;Thomsen, 1982
105535;Monosiga;?;Choanozoa;W.S.Kent, 1878
105643;Monosiga marina;?;Choanozoa;Grøntved, 1952
105587;Parvicorbicula quadricostata;?;Choanozoa;Throndsen, 1970
105588;Parvicorbicula socialis;?;Choanozoa;(Meunier) Deflandre, 1960
105536;Proterospongia;?;Choanozoa;Kent, 1882
105541;Salpingoeca;?;Choanozoa;H.J.Clark, 1866
292899;Balanion;?;Ciliophora;Wulff, 1919
204197;Codonellopsis;?;Ciliophora;Jörgensen, 1924
179326;Euplotes;?;Ciliophora;O.F. Müller, 1786
183543;Eutintinnus;?;Ciliophora;Kofoid & Campbell, 1939
417214;Eutintinnus pectinis;?;Ciliophora;(Kofoid & Campbell, 1929)
625430;Leprotintinnus pellucidus;?;Ciliophora;(Cleve, 1899)
196836;Parafavella;?;Ciliophora;Kofoid & Campbell, 1929
427603;Parafavella elegans;?;Ciliophora;(Ostenfeld, 1899)
196837;Parafavella gigantea;?;Ciliophora;(Brandt), Kofoid & Campbell, 1929
427609;Parafavella obtusangula;?;Ciliophora;(Ostenfeld, 1899)
345911;Parundella;?;Ciliophora;Jörgensen, 1924
341692;Pelagostrobilidium spirale;?;Ciliophora;(Leegaard, 1915) Petz, Song & Wilbert, 1995
172321;Peritromus;?;Ciliophora;Stein, 1863
292925;Rhabdoaskenasia;?;Ciliophora;Krainer & Foissner, 1990
183566;Salpingella;?;Ciliophora;Jörgensen, 1924
417228;Salpingella acuminata;?;Ciliophora;(Claparède & Lachmann, 1858) Jörgensen, 1924
425635;Salpingelloides;?;Ciliophora;Campbell, 1942
732868;Schmidingerella serrata;?;Ciliophora;(Möbius, 1887) Agatha & Strüder-Kypke, 2012
178825;Stenosemella;?;Ciliophora;Jörgensen
248178;Holococcolithophora;?;Haptophyta;L.Cros & J.R.Young, 2005
114298;Ammoglobigerina globigeriniformis;FORAMS;Foraminifera;(Parker & Jones, 1865)
112291;Ammolagena;FORAMS;Foraminifera;Eimer & Fickert, 1899
113827;Ammolagena clavata;FORAMS;Foraminifera;(Jones & Parker, 1860)
112078;Ammonia;FORAMS;Foraminifera;Brünnich, 1771
112322;Ammoscalaria;FORAMS;Foraminifera;Höglund, 1947
113920;Ammoscalaria tenuimargo;FORAMS;Foraminifera;(Brady, 1882)
113780;Amphicoryna scalaris;FORAMS;Foraminifera;(Batsch, 1791)
112081;Anomalina;FORAMS;Foraminifera;d'Orbigny, 1826
112299;Astrorhiza;FORAMS;Foraminifera;Sandahl, 1858
113840;Astrorhiza arenaria;FORAMS;Foraminifera;Carpenter in Norman, 1877
113843;Astrorhiza limicola;FORAMS;Foraminifera;Sandahl, 1858
1026240;Beella megastoma;FORAMS;Foraminifera;(Earland, 1934)
112301;Bigenerina;FORAMS;Foraminifera;d'Orbigny, 1826
1046354;Bigenerina (Bigenerina) nodosaria;FORAMS;Foraminifera;d'Orbigny, 1826
112014;Biloculinella;FORAMS;Foraminifera;Wiesner, 1931
112990;Bolivina subaenariensis;FORAMS;Foraminifera;Cushman, 1922
113030;Bulimina aculeata;FORAMS;Foraminifera;d'Orbigny, 1826
113042;Bulimina marginata;FORAMS;Foraminifera;d'Orbigny, 1826
113047;Bulimina striata;FORAMS;Foraminifera;d'Orbigny in Guérin-Méneville, 1832
466352;Bulimina truncana;FORAMS;Foraminifera;Gümbel, 1870
112098;Cancris;FORAMS;Foraminifera;Montfort, 1808
582554;Cancris auricula;FORAMS;Foraminifera;(Fichtel & Moll, 1798)
113075;Cassidulina crassa;FORAMS;Foraminifera;d'Orbigny, 1839
113077;Cassidulina laevigata;FORAMS;Foraminifera;d'Orbigny, 1826
