aphiaidaccepted;scientificnameaccepted;trait;phylum;scientificnameauthorship
115083;Acanthoica;phytoplankton;Haptophyta;Lohmann, 1903
115101;Acanthoica acanthifera;phytoplankton;Haptophyta;Lohmann ex Lohmann, 1913
235909;Acanthoica coronata;phytoplankton;Haptophyta;Lohmann, 1903
235802;Acanthoica quattrospina;phytoplankton;Haptophyta;Lohmann, 1903
183555;Acanthostomella;phy;Ciliophora;Jˆrgensen, 1927
183556;Acanthostomella norvegica;phy;Ciliophora;(Daday, 1887)
149191;Achnanthes;phytoplankton;Ochrophyta;Bory, 1822
149387;Achnanthes brevipes;phy;Ochrophyta;C.Agardh, 1824
156533;Achnanthes longipes;phy;Ochrophyta;C.Agardh, 1824
145398;Acinetospora crinita;not;Ochrophyta;(Carmichael) Sauvageau, 1899
144407;Acrosiphonia arcta;not;Chlorophyta;(Dillwyn) Gain, 1912
144412;Acrosiphonia sonderi;not;Chlorophyta;(K¸tzing) Kornmann, 1962
144908;Acrothrix gracilis;not;Ochrophyta;Kylin, 1907
160542;Actinastrum;phy;Chlorophyta;Lagerheim, 1882
367152;Actinema scutellum;not;Ochrophyta;Reinsch, 1875
109717;Actiniscus pentasterias;phy;Myzozoa;(Ehrenberg) Ehrenberg, 1844
148944;Actinocyclus;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1837
179603;Actinocyclus cholnokyi;phytoplankton;Ochrophyta;VanLandingham, 1967
345847;Actinocyclus curvatulus;phy;Ochrophyta;Janisch, 1874
148945;Actinocyclus normanii;phytoplankton;Ochrophyta;(Gregory) Hustedt, 1957
162770;Actinocyclus octonarius var. octonarius;phytoplankton;Ochrophyta;Ehrenberg, 1837
162810;Actinocyclus senarius;phy;Ochrophyta;Ehrenberg, 1838
369319;Actinomonas;phy;Ochrophyta;Kent, 1880
148947;Actinoptychus;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1843
149163;Actinoptychus octonarius;phytoplankton;Ochrophyta;(Ehrenberg) K¸tzing, 1844
148948;Actinoptychus senarius;phy;Ochrophyta;(Ehrenberg) Ehrenberg, 1843
148949;Actinoptychus splendens;phy;Ochrophyta;(Shadbolt) Ralfs ex Pritchard, 1861
418535;Actinoptychus taeniatus;phytoplankton;Ochrophyta;Hustedt, 1955
109525;Adenoides;phytoplankton;Myzozoa;Balech, 1956
110069;Adenoides eludens;phy;Myzozoa;(Herdman) Balech, 1956
992758;Aduncodinium glandula;phytoplankton;Myzozoa;(E.C.Herdman) N.S.Kang, H.J.Jeong & ÿ.Moestrup, 2014
232546;Akashiwo sanguinea;phytoplankton;Myzozoa;(K.Hirasaka) Gert Hansen & Moestrup, 2000
520907;Alabamina;foram;Foraminifera;Toulmin, 1941
145716;Alaria esculenta;not;Ochrophyta;(Linnaeus) Greville, 1830
109470;Alexandrium;phytoplankton;Myzozoa;Halim, 1960
109707;Alexandrium affine;phytoplankton;Myzozoa;(H.Inoue & Y.Fukuyo) Balech, 1995
246835;Alexandrium andersonii;phytoplankton;Myzozoa;Balech, 1990
109710;Alexandrium leei;phytoplankton;Myzozoa;Balech, 1985
233447;Alexandrium margalefii;phytoplankton;Myzozoa;Balech, 1994
109711;Alexandrium minutum;phy;Myzozoa;Halim, 1960
109712;Alexandrium ostenfeldii;phytoplankton;Myzozoa;(Paulsen) Balech & Tangen, 1985
109713;Alexandrium pseudogonyaulax;phy;Myzozoa;(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992
109714;Alexandrium tamarense;phytoplankton;Myzozoa;(Lebour) Balech, 1995
388924;Alexandrium tamutum;phytoplankton;Myzozoa;M.Montresor, A.Beran & U.John, 2004
235913;Algirosphaera robusta;phytoplankton;Haptophyta;(Lohmann) R.E.Norris, 1984
103425;Amastigomonas;not;NA;De Saedeleer
112290;Ammodiscus;foram;Foraminifera;Reuss, 1862
114298;Ammoglobigerina globigeriniformis;foram;Foraminifera;(Parker & Jones, 1865)
112291;Ammolagena;foram;Foraminifera;Eimer & Fickert, 1899
113827;Ammolagena clavata;foram;Foraminifera;(Jones & Parker, 1860)
112078;Ammonia;foram;Foraminifera;Br¸nnich, 1771
112847;Ammonia batava;foram;Foraminifera;(Hofker, 1951)
112849;Ammonia beccarii;foram;Foraminifera;(Linnaeus, 1758)
112322;Ammoscalaria;foram;Foraminifera;Hˆglund, 1947
113920;Ammoscalaria tenuimargo;foram;Foraminifera;(Brady, 1882)
605376;Amoeba;not;NA;NA
109448;Amoebophrya;phy;Myzozoa;Koeppen, 1894
109578;Amoebophrya ceratii;phy;Myzozoa;(Koeppen) J.Cachon, 1964
113780;Amphicoryna scalaris;foram;Foraminifera;(Batsch, 1791)
109556;Amphidiniopsis;phy;Myzozoa;Woloszynska, 1928
233713;Amphidiniopsis arenaria;phy;Myzozoa;Hoppenrath, 2001
110268;Amphidiniopsis hirsuta;phy;Myzozoa;(Balech) J.D.Dodge, 1982
110269;Amphidiniopsis kofoidii;phy;Myzozoa;Woloszynska, 1929
110270;Amphidiniopsis swedmarkii;phy;Myzozoa;(Balech) J.D.Dodge, 1982
109473;Amphidinium;phytoplankton;Myzozoa;ClaperËde & Lachmann, 1859
109718;Amphidinium acutissimum;phytoplankton;Myzozoa;Schiller, 1933
109721;Amphidinium bipes;phy;Myzozoa;Herdman, 1924
109723;Amphidinium carterae;phy;Myzozoa;Hulburt, 1957
232559;Amphidinium conradii;phy;Myzozoa;J.Schiller, 1932
109726;Amphidinium crassum;phy;Myzozoa;Lohmann, 1908
232576;Amphidinium emarginatum;phy;Myzozoa;(Diesing) Kofoid & Swezy
232577;Amphidinium extensum;phytoplankton;Myzozoa;Wulff, 1919
109728;Amphidinium flagellans;phytoplankton;Myzozoa;Schiller
109729;Amphidinium flexum;phy;Myzozoa;Herdman, 1923
232584;Amphidinium glaucum;phy;Myzozoa;W.Conrad, 1926
109731;Amphidinium herdmanii;phytoplankton;Myzozoa;Kofoid & Swezy, 1921
109733;Amphidinium incoloratum;phy;Myzozoa;P.H.Campbell, 1973
109734;Amphidinium kesselitzii;phy;Myzozoa;Schiller
109735;Amphidinium klebsii;phy;Myzozoa;Kofoid & Swezy, 1921
109741;Amphidinium longum;phy;Myzozoa;Lohmann, 1908
232594;Amphidinium macrocephalum;phy;Myzozoa;Conrad & Kufferath
109742;Amphidinium manannini;phy;Myzozoa;Herdman, 1924
109745;Amphidinium operculatum;phy;Myzozoa;ClaparËde & Lachmann, 1859
232608;Amphidinium ornithocephalum;phy;Myzozoa;Conrad
109746;Amphidinium ovoideum;phy;Myzozoa;(Lemmermann) Lemmermann, 1900
109747;Amphidinium ovum;phy;Myzozoa;Herdman, 1924
232613;Amphidinium pelagicum;phy;Myzozoa;Lebour, 1925
109750;Amphidinium psittacus;phy;Myzozoa;Larsen, 1985
232622;Amphidinium salinum;phy;Myzozoa;Ruinen, 1938
109752;Amphidinium scissum;phy;Myzozoa;Koifoid & Swezy, 1921
109754;Amphidinium sphenoides;phy;Myzozoa;W¸Iff, 1916
232626;Amphidinium stellatum;phy;Myzozoa;Conrad & Kufferath, 1954
232635;Amphidinium vitreum;phy;Myzozoa;E.C.Herdman, 1924
232637;Amphidinium vittatum;phy;Myzozoa;Conrad & Kufferath, 1954
109517;Amphidoma;phytoplankton;Myzozoa;Stein, 1883
233194;Amphidoma acuminata;phytoplankton;Myzozoa;Stein, 1883
601037;Amphikrikos;phy;Chlorophyta;Korshikov, 1953
149140;Amphiprora;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1843
179174;Amphiprora hyperborea;phytoplankton;Ochrophyta;Grunow, 1880
983277;Amphiprora lepidoptera f. lepidoptera;phy;Ochrophyta;Gregory, 1857
109459;Amphisolenia;phytoplankton;Myzozoa;Stein, 1883
578002;Amphitetras;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1840
615550;Amphitetras antediluviana;phy;Ochrophyta;Ehrenberg, 1840
602320;Amphitrite;phytoplankton;Ochrophyta;P.T. Cleve ex O. Kunze, 1891
149200;Amphora;phytoplankton;Ochrophyta;C.G. Ehrenberg ex F.T. K¸tzing, 1844
160677;Amphora angusta;phy;Ochrophyta;Gregory, 1857
149530;Amphora laevis;phy;Ochrophyta;Gregory, 1857
969098;Amphora laevissima var. perminuta;phy;Ochrophyta;Grunow in Van Heurck
149524;Amphora ovalis;phy;Ochrophyta;(K¸tzing) K¸tzing, 1844
109518;Amylax;phytoplankton;Myzozoa;Meunier, 1910
110007;Amylax triacantha;phytoplankton;Myzozoa;(Jˆrgensen) Sournia, 1984
846758;Amylax triacantha var. buxus;phytoplankton;Myzozoa;(Balech) G·rate-Liz·rraga, 2014
146585;Anabaena;cyano;Cyanobacteria;Bory de Saint-Vincent ex Bornet & Flahault, 1886
177635;Anabaena baltica;cyano;Cyanobacteria;E.J.Schmidt, 1899
146714;Anabaena torulosa;cyano;Cyanobacteria;Lagerheim ex Bornet & Flahault, 1886
146590;Anabaenopsis;cyano;Cyanobacteria;V.V.Miller, 1923
