mrgid;marregion;mrgid_iho;iho_sea;mrgid_eez;eez;mrgid_ter1;territory1;iso_ter1;un_ter1;mrgid_sov1;sovereign1;iso_sov1;un_sov1;mrgid_ter2;territory2;iso_ter2;un_ter2;mrgid_sov2;sovereign2;iso_sov2;un_sov2;mrgid_ter3;territory3;iso_ter3;un_ter3;mrgid_sov3;sovereign3;iso_sov3;un_sov3;area_km2;x_1;y_1
26567;Belgian part of the North Sea;2350;North Sea;3293;Belgian Exclusive Economic Zone;14;Belgium;BEL;56;14;Belgium;BEL;56;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;3495;2.70504;51.46545
25224;Danish part of the Kattegat;2374;Kattegat;5674;Danish Exclusive Economic Zone;2157;Denmark;DNK;208;2157;Denmark;DNK;208;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;27578;11.07848;56.20368
25231;Danish part of the North Sea;2350;North Sea;5674;Danish Exclusive Economic Zone;2157;Denmark;DNK;208;2157;Denmark;DNK;208;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;49717;6.52725;56.16975
25227;Danish part of the Skagerrak;2379;Skagerrak;5674;Danish Exclusive Economic Zone;2157;Denmark;DNK;208;2157;Denmark;DNK;208;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;10351;9.49547;57.65663
25232;Dutch part of the North Sea;2350;North Sea;5668;Dutch Exclusive Economic Zone;15;Netherlands;NLD;528;15;Netherlands;NLD;528;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;64328;4.18654;53.61208
25220;French part of the Celtic Sea;2351;Celtic Sea;5677;French Exclusive Economic Zone;17;France;FRA;250;17;France;FRA;250;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;61773;-6.34847;47.98214
25214;French part of the English Channel;2389;English Channel;5677;French Exclusive Economic Zone;17;France;FRA;250;17;France;FRA;250;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;36585;-1.59231;49.55885
25234;French part of the North Sea;2350;North Sea;5677;French Exclusive Economic Zone;17;France;FRA;250;17;France;FRA;250;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;1750;2.14869;51.20723
22762;German part of the North Sea;2350;North Sea;5669;German Exclusive Economic Zone;2101;Germany;DEU;276;2101;Germany;DEU;276;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;41334;6.78694;54.58562
25216;Guernsey part of the English Channel;2389;English Channel;21788;Guernsey Exclusive Economic Zone;4377;Guernsey;GGY;831;2208;United Kingdom;GBR;826;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;0;NA;NA;0;6531;-2.65845;49.63968
