aphiaID;genus
370366;Chaetoceros
370367;Chaetoceros
586732;Acantharia
115083;Acanthoica
235749;Acanthometra
235748;Acanthometridae
391880;Acanthometron
183555;Acanthostomella
149191;Achnanthes
172365;Acineta
803;Acrosiphoniales
160542;Actinastrum
148944;Actinocyclus
369319;Actinomonas
148947;Actinoptychus
493294;Actinosphaera
109525;Adenoides
109470;Alexandrium
109448;Amoebophrya
109556;Amphidiniopsis
109473;Amphidinium
109517;Amphidoma
231796;Amphidomataceae
601037;Amphikrikos
163176;Amphileptidae
149140;Amphiprora
602320;Amphitrite
149200;Amphora
183539;Amphorides
146585;Anabaena
8030;Anisonema
163489;Ankistrodesmus
572079;Ankyra
248096;Apedinella
160567;Aphanizomenon
146715;Aphanothece
604918;Archaeperidinium
163791;Astasia
148953;Asterionella
162254;Asteromphalus
112299;Astrorhiza
111958;Astrorhizidae
160519;Attheya
148959;Aulacoseira
149281;Auliscus
391508;Azadinium
149148;Bacillaria
149002;Bacillariaceae
149001;Bacillariales
591186;Bacillariophycanae
148899;Bacillariophyceae
148902;Bacillariophycidae
149118;Bacteriastrum
292899;Balanion
149305;Bellerochea
156953;Berkeleya
103987;Bicosoeca
105505;Bicosta
148967;Biddulphia
22557;Bodo
536197;Bodonaceae
109523;Boreadinium
493881;Botryococcaceae
248103;Botryococcus
235849;Braarudosphaera
345436;Brachiomonas
149136;Brockmanniella
109532;Cachonina
493993;Calciodinelloideae
105506;Calliacantha
146624;Calothrix
160548;Calycomonas
149616;Campylodiscus
149356;Campylosira
367250;Carteria
341285;Centrales
149236;Cerataulina
109421;Ceratiaceae
109506;Ceratium
577493;Cercomonas
148985;Chaetoceros
143995;Chaetomorpha
163951;Characiopsis
233776;Chattonella
160582;Chattonellales
732333;Chlamydomonadales
178583;Chlamydomonas
160576;Chlorella
802;Chlorophyceae
801;Chlorophyta
580116;Choanoflagellatea
249689;Chromulina
146543;Chroococcales
146565;Chroococcus
106281;Chroomonas
115090;Chrysochromulina
248110;Chrysococcus
146230;Chrysophyceae
11;Ciliophora
369492;Ciliophrys
143996;Cladophora
109509;Cladopyxis
178597;Coccolithaceae
178598;Coccolithus
148989;Cocconeis
115059;Coccosphaerales
109474;Cochlodinium
150203;Codonella
204197;Codonellopsis
160550;Coelastrum
149109;Corethron
162518;Corymbellus
148916;Coscinodiscaceae
148971;Coscinodiscophycidae
148917;Coscinodiscus
150208;Coxliella
178617;Crucigenia
118011;Cryothecomonas
146167;Cryptaulax
17644;Cryptomonadaceae
17640;Cryptomonadales
106282;Cryptomonas
17639;Cryptophyceae
163921;Ctenophora
144054;Cutleria
146537;Cyanobacteria
146542;Cyanophyceae
345462;Cyanothece
148905;Cyclotella
149003;Cylindrotheca
149007;Cymatopleura
149011;Cymatosira
149538;Cymbella
196830;Cystodinium
150205;Cyttarocylis
149309;Dactyliosolen
146579;Dactylococcopsis
149179;Delphineis
105532;Desmarella
249711;Desmodesmus
149285;Detonula
105513;Diaphanoeca
149013;Diatoma
157258;Dictyocha
157256;Dictyochales
196834;Dictyocysta
144067;Dictyosiphon
178623;Dictyosphaerium
163233;Dimeregramma
157240;Dinobryon
146203;Dinoflagellata
19542;Dinophyceae
109462;Dinophysis
149018;Diploneis
601568;Diplonema
109515;Diplopsalis
109537;Diplopsalopsis
178591;Distigma
149022;Ditylum
134530;Dolichomastix
149510;Donkinia
601282;Duboscquella
143717;Ectocarpaceae
144099;Ectocarpus
172156;Ectrogella
562837;Eimeria
143968;Elachista
231803;Ensiculifera
156598;Entomoneis
146539;Entophysalis
149026;Epithemia
112174;Eponides
149130;Eucampia
8012;Euglena
21001;Euglenaceae
582177;Euglenoidea
149402;Eunotia
179326;Euplotes
149665;Eupodiscus
345487;Eustigmatophyceae
183543;Eutintinnus
178582;Eutreptia
17655;Eutreptiaceae
17657;Eutreptiella
345472;Extubocellulus
172431;Favella
233759;Fibrocapsa
1410;Foraminifera
149028;Fragilaria
148952;Fragilariaceae
591199;Fragilariophycanae
149313;Fragilariopsis
844;Fucales
144129;Fucus
235823;Gephyrocapsa
109538;Glenodinium
112197;Globigerina
601242;Gloeobacter
1308692;Gloeodiniales
577860;Gloeotila
149354;Glyphodesmis
149553;Gomphonema
600926;Goniochloris
106286;Goniomonas
109519;Gonyaulax
149335;Grammatophora
149111;Guinardia
109410;Gymnodiniaceae
109392;Gymnodiniales
109475;Gymnodinium
109476;Gyrodinium
149033;Gyrosigma
134528;Halosphaera
21004;Halosphaeraceae
163057;Haptorida
149210;Haslea
235863;Helicosphaera
172434;Helicostomella
157438;Helicotheca
341274;Heliozoa
149235;Hemiaulaceae
163248;Hemiaulus
106287;Hemiselmis
146165;Hemistasia
109482;Herdmania
109540;Heterocapsa
8022;Heteronema
160584;Heterosigma
172814;Hexasterias
178565;Hillea
149058;Hyalodiscaceae
146627;Hyella
600795;Hypnomonas
425500;Hypotrichia
115060;Isochrysidales
231788;Karenia
231789;Karlodinium
109477;Katodinium
163474;Kephyrion
576884;Khakista
163108;Kirchneriella
109499;Kofoidinium
160588;Koliella
101190;Laboea
179314;Lacrymaria
178609;Lagerheimia
144199;Laminaria
149134;Lauderia
101179;Leegaardiella
450723;Lennoxia
149038;Leptocylindrus
146994;Leptolyngbya
600866;Leptothrix
17651;Leucocryptos
149342;Licmophora
177506;Limnothrix
231799;Lingulodinium
149321;Lithodesmium
